id,name,cost,unlockreq,levelreq,unlocknext,exp,type,,
door_1,door_1,100,none,9,table_1_1,3,unlock,15,150
table_1_1,table_01,130,door_1,9,sandwich_machine_1_1,3,unlock,,
sandwich_machine_1_1,sandwich_machine_1,160,table_1_1,9,counter_1_1,3,unlock,,
counter_1_1,counter_1,190,sandwich_machine_1_1,9,"zone_1,table_2_1",3,unlock,,
zone_1,zone_1,200,counter_1_1,10,none,0,unlock,,
table_2_1,table_02,250,zone_1,9,counter_1_2,3,unlock,,
hr_office,hr_office,280,counter_1_2,10,upgrade_office,3,unlock,18,168
upgrade_office,upgrade_office,310,hr_office,10,table_3_1,3,unlock,,
counter_1_2,counter_1,440,table_2_1,10,hr_office,3,upgrade,,
table_3_1,table_03,370,upgrade_office,10,drive_thru_1_1,3,unlock,,
zone_2,zone_2,500,table_3_1,11,table_4_1,0,unlock,,
drive_thru_1_1,drive_thru_1,450,table_3_1,10,package_table_1_1,3,unlock,,
package_table_1_1,package_table_1,150,drive_thru_1_1,10,zone_2,3,unlock,,
table_4_1,table_04,490,zone_2,11,table_5_1,3,unlock,18,186
table_5_1,table_05,520,table_4_1,11,juice_machine_1_1,0,unlock,,
juice_machine_1_1,juice_machine_1,550,table_5_1,11,sandwich_machine_2_1,3,unlock,,
sandwich_machine_2_1,sandwich_machine_2,580,juice_machine_1_1,11,table_6_1,3,unlock,,
table_6_1,table_06,610,sandwich_machine_2_1,11,table_7_1,3,unlock,,
table_7_1,table_07,640,table_6_1,11,sandwich_machine_1_2,3,unlock,,
sandwich_machine_1_2,sandwich_machine_1,770,table_7_1,11,table_1_2,3,upgrade,,
table_1_2,table_01,750,sandwich_machine_1_2,12,table_2_2,3,upgrade,21,207
table_2_2,table_02,780,table_1_2,12,table_3_2,3,upgrade,,
table_3_2,table_03,810,table_2_2,12,sandwich_machine_2_2,3,upgrade,,
sandwich_machine_2_2,sandwich_machine_2,890,table_3_2,12,table_4_2,3,upgrade,,
zone_3,zone_3,100,sandwich_machine_2_2,13,table_6_2,0,unlock,,
table_4_2,table_04,900,sandwich_machine_2_2,12,table_5_2,3,upgrade,,
table_5_2,table_05,930,table_4_2,12,drive_thru_1_2,3,upgrade,,
drive_thru_1_2,drive_thru_1,1010,table_5_2,12,package_table_1_2,3,upgrade,,
package_table_1_2,package_table_1,1040,drive_thru_1_2,12,zone_3,3,upgrade,21,228
table_6_2,table_06,1020,package_table_1_2,13,table_7_2,3,upgrade,,
table_7_2,table_07,1050,table_6_2,13,counter_1_3,3,upgrade,,
counter_1_3,counter_1,1230,table_7_2,13,table_8_1,3,upgrade,,
table_8_1,table_08,1160,counter_1_3,13,table_9_1,3,unlock,,
table_9_1,table_09,1190,table_8_1,13,table_10_1,3,unlock,,
table_10_1,table_10,1220,table_9_1,13,sandwich_machine_1_3,3,unlock,,
sandwich_machine_1_3,sandwich_machine_1,1350,table_10_1,14,table_1_3,3,upgrade,21,249
table_1_3,table_01,1280,sandwich_machine_1_3,14,table_2_3,3,upgrade,,
table_2_3,table_02,1310,table_1_3,14,table_3_3,3,upgrade,,
table_3_3,table_03,1340,table_2_3,14,juice_machine_1_2,3,upgrade,,
juice_machine_1_2,juice_machine_1,1370,table_3_3,14,table_4_3,3,upgrade,,
table_4_3,table_04,1400,juice_machine_1_2,14,table_5_3,3,upgrade,,
table_5_3,table_05,1430,table_4_3,14,sandwich_machine_2_3,3,upgrade,,
sandwich_machine_2_3,sandwich_machine_2,1560,table_5_3,15,table_6_3,3,upgrade,21,270
table_6_3,table_06,1490,sandwich_machine_2_3,15,table_7_3,3,upgrade,,
table_7_3,table_07,1520,table_6_3,15,drive_thru_1_3,3,upgrade,,
drive_thru_1_3,drive_thru_1,1650,table_7_3,15,table_8_2,3,upgrade,,
table_8_2,table_08,1630,drive_thru_1_3,15,table_9_2,3,upgrade,,
table_9_2,table_09,1660,table_8_2,15,table_10_2,3,upgrade,,
table_10_2,table_10,1690,table_9_2,15,package_table_1_3,3,upgrade,,
package_table_1_3,package_table_1,1770,table_10_2,16,table_8_3,3,upgrade,15,285
table_8_3,table_08,1800,package_table_1_3,16,table_9_3,3,upgrade,,
table_9_3,table_09,1830,table_8_3,16,table_10_3,3,upgrade,,
table_10_3,table_10,1860,table_9_3,16,juice_machine_1_3,3,upgrade,,
juice_machine_1_3,juice_machine_1,1890,table_10_3,16,none,3,upgrade,,
